trial_id,optimizer_config__optimizer_params,optimizer_config__optimizer,model_config__virtual_batch_size,model_config__n_layers,model_config__k,model_config__dropout_rate,model_config__block_activation,model_config__abstlay_dim_2,model_config__abstlay_dim_1,model,loss_0,loss,accuracy,auroc,model_config__transformer_head_dim,model_config__transformer_activation,model_config__shared_embedding_fraction,model_config__share_embedding_strategy,model_config__share_embedding,model_config__num_heads,model_config__num_attn_blocks,model_config__input_embed_dim,model_config__ff_hidden_multiplier,model_config__ff_dropout,model_config__embedding_initialization,model_config__embedding_dropout,model_config__embedding_bias,model_config__attn_dropout,model_config__add_norm_dropout,model_config__use_batch_norm,model_config__initialization,model_config__has_residuals,model_config__embedding_dim,model_config__dropout,model_config__deep_layers,model_config__attn_embed_dim,model_config__attn_dropouts,model_config__attention_pooling,model_config__activation,model_config__n_steps,model_config__n_shared,model_config__n_independent,model_config__n_d,model_config__n_a,model_config__mask_type,model_config__gamma,model_config__batch_norm_continuous_input
52,{'weight_decay': 0.001},AdamW,128.0,8.0,7.0,0.1,GELU,32.0,64.0,DANetModel,0.5800702571868896,0.5800702571868896,0.6610169410705566,0.7167919874191284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,{'weight_decay': 0.001},AdamW,128.0,6.0,3.0,0.1,ReLU,32.0,32.0,DANetModel,0.6070300340652466,0.6070300340652466,0.6779661178588867,0.6616541147232056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,{'weight_decay': 0.001},AdamW,128.0,4.0,3.0,0.0,GELU,32.0,64.0,DANetModel,0.6566253900527954,0.6566253900527954,0.6440678238868713,0.4310777187347412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,{'weight_decay': 0.01},AdamW,128.0,8.0,5.0,0.2,GELU,64.0,32.0,DANetModel,0.6077089905738831,0.6077089905738831,0.6271186470985413,0.6578947305679321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,{'weight_decay': 0.01},AdamW,128.0,4.0,7.0,0.0,ReLU,128.0,32.0,DANetModel,0.6292837858200073,0.6292837858200073,0.6440678238868713,0.6553884744644165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,{'weight_decay': 0.001},Adam,512.0,6.0,7.0,0.0,GELU,128.0,32.0,DANetModel,0.6464882493019104,0.6464882493019104,0.6440678238868713,0.5551378726959229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,{'weight_decay': 0.01},AdamW,128.0,6.0,3.0,0.2,ReLU,32.0,32.0,DANetModel,0.6430823802947998,0.6430823802947998,0.5932203531265259,0.6115288734436035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,{'weight_decay': 0.001},AdamW,128.0,4.0,3.0,0.2,GELU,64.0,16.0,DANetModel,0.5901439189910889,0.5901439189910889,0.6271186470985413,0.743107795715332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,{'weight_decay': 0.001},AdamW,256.0,6.0,3.0,0.2,ReLU,32.0,64.0,DANetModel,0.6299956440925598,0.6299956440925598,0.6440678238868713,0.6704260110855103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,{'weight_decay': 0.01},AdamW,256.0,6.0,5.0,0.2,GELU,128.0,32.0,DANetModel,0.6472351551055908,0.6472351551055908,0.6440678238868713,0.5426065921783447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,{'weight_decay': 0.001},AdamW,256.0,6.0,5.0,0.1,ReLU,64.0,64.0,DANetModel,0.6439322829246521,0.6439322829246521,0.6440678238868713,0.5764411091804504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,{'weight_decay': 0.01},AdamW,512.0,6.0,3.0,0.0,GELU,32.0,64.0,DANetModel,0.6453937888145447,0.6453937888145447,0.6610169410705566,0.5601503849029541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,{'weight_decay': 0.01},AdamW,512.0,4.0,7.0,0.1,ReLU,64.0,16.0,DANetModel,0.667262852191925,0.667262852191925,0.6271186470985413,0.4761904776096344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,{'weight_decay': 0.001},AdamW,512.0,6.0,5.0,0.0,GELU,128.0,64.0,DANetModel,0.6529249548912048,0.6529249548912048,0.6440678238868713,0.5726816654205322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,{'weight_decay': 0.001},Adam,512.0,8.0,5.0,0.1,ReLU,64.0,16.0,DANetModel,0.6474875211715698,0.6474875211715698,0.6440678238868713,0.6015037298202515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,{'weight_decay': 0.001},AdamW,128.0,4.0,7.0,0.2,ReLU,32.0,32.0,DANetModel,0.6784063577651978,0.6784063577651978,0.6271186470985413,0.4423558712005615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,{'weight_decay': 0.001},Adam,512.0,4.0,5.0,0.1,LeakyReLU,64.0,64.0,DANetModel,0.6443169116973877,0.6443169116973877,0.6440678238868713,0.6228070259094238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,{'weight_decay': 0.01},AdamW,256.0,4.0,3.0,0.1,LeakyReLU,32.0,64.0,DANetModel,0.622189998626709,0.622189998626709,0.6440678238868713,0.6629072427749634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,{'weight_decay': 0.01},AdamW,256.0,6.0,5.0,0.1,GELU,128.0,16.0,DANetModel,0.647316038608551,0.647316038608551,0.6440678238868713,0.5814536809921265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,{'weight_decay': 0.01},AdamW,512.0,4.0,3.0,0.1,GELU,32.0,16.0,DANetModel,0.6466137766838074,0.6466137766838074,0.6440678238868713,0.6416040062904358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,{'weight_decay': 0.001},Adam,256.0,8.0,5.0,0.2,ReLU,64.0,16.0,DANetModel,0.6537541151046753,0.6537541151046753,0.6440678238868713,0.49498745799064636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,{'weight_decay': 0.01},AdamW,128.0,4.0,5.0,0.2,GELU,128.0,32.0,DANetModel,0.5826794505119324,0.5826794505119324,0.6610169410705566,0.7167919874191284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,{'weight_decay': 0.01},Adam,256.0,8.0,7.0,0.0,LeakyReLU,128.0,32.0,DANetModel,0.6501283049583435,0.6501283049583435,0.6440678238868713,0.5401002168655396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,{'weight_decay': 0.01},AdamW,128.0,8.0,7.0,0.2,LeakyReLU,128.0,16.0,DANetModel,0.6277459263801575,0.6277459263801575,0.6440678238868713,0.6942355632781982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,{'weight_decay': 0.001},AdamW,128.0,6.0,3.0,0.2,ReLU,32.0,64.0,DANetModel,0.6483800411224365,0.6483800411224365,0.6440678238868713,0.5401002168655396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,{'weight_decay': 0.001},Adam,256.0,8.0,3.0,0.2,ReLU,128.0,64.0,DANetModel,0.6329423785209656,0.6329423785209656,0.6440678238868713,0.640350878238678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,{'weight_decay': 0.001},Adam,128.0,6.0,7.0,0.2,ReLU,128.0,16.0,DANetModel,0.6481384634971619,0.6481384634971619,0.6440678238868713,0.591478705406189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,{'weight_decay': 0.001},Adam,256.0,4.0,3.0,0.2,ReLU,32.0,16.0,DANetModel,0.663661539554596,0.663661539554596,0.6271186470985413,0.5100250244140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,{'weight_decay': 0.001},Adam,256.0,6.0,5.0,0.1,LeakyReLU,64.0,32.0,DANetModel,0.6494573950767517,0.6494573950767517,0.6440678238868713,0.5526316165924072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,{'weight_decay': 0.01},AdamW,128.0,8.0,5.0,0.0,ReLU,128.0,16.0,DANetModel,0.6495718359947205,0.6495718359947205,0.6440678238868713,0.553884744644165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,{'weight_decay': 0.001},AdamW,512.0,8.0,3.0,0.1,ReLU,64.0,16.0,DANetModel,0.6451108455657959,0.6451108455657959,0.6440678238868713,0.5689222812652588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,{'weight_decay': 0.001},AdamW,512.0,6.0,5.0,0.1,ReLU,64.0,16.0,DANetModel,0.6498113870620728,0.6498113870620728,0.6440678238868713,0.5977444052696228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
